transaction_id,account_id,beneficiary_id,type_id,amount,transaction_date,is_fraud
1,157,68,2,2727.61,2025-10-05,0
2,74,43,4,21040.33,2025-03-10,0
3,134,81,3,27247.66,2025-12-20,0
4,164,23,3,7353.11,2025-11-26,0
5,79,31,2,19526.09,2025-11-21,0
6,81,35,3,43176.5,2025-12-22,0
7,119,22,3,46180.3,2025-06-01,0
8,179,81,2,30730.95,2025-04-30,0
9,94,74,4,6954.07,2025-04-21,0
10,147,100,3,5294.62,2025-08-29,0
11,108,38,4,16694.23,2025-10-24,0
12,9,78,3,1654.91,2025-06-15,0
13,26,23,2,3480.14,2025-12-12,0
14,99,13,3,5077.13,2025-11-14,0
15,68,63,2,5090.94,2025-04-13,0
16,131,68,3,49052.86,2025-05-22,0
17,133,34,4,18125.4,2025-06-03,0
18,29,5,1,14085.66,2025-10-09,0
19,149,33,4,45093.01,2025-01-01,0
20,90,82,3,23504.68,2025-10-12,0
21,133,2,3,10852.75,2025-07-12,0
22,166,26,4,18404.14,2025-10-08,0
23,153,49,2,44781.8,2025-09-01,0
24,105,57,4,3387.35,2025-11-02,0
25,160,70,4,33255.51,2025-01-13,0
26,70,60,4,31760.86,2025-06-02,0
27,84,35,2,34402.29,2025-08-13,0
28,155,42,2,25525.1,2025-12-18,0
29,174,81,3,46435.77,2025-04-30,0
30,188,62,3,49089.35,2025-01-04,0
31,85,87,3,23872.15,2025-02-12,0
32,187,85,3,42021.79,2025-11-24,0
33,78,5,1,47638.37,2025-10-04,0
34,107,38,4,34408.25,2025-12-03,0
35,184,71,4,16677.54,2025-11-16,0
36,47,33,4,39129.68,2025-08-17,0
37,171,41,3,26039.45,2025-03-17,0
38,185,86,3,6750.19,2025-05-02,0
39,96,28,4,35777.25,2025-06-08,0
40,116,9,1,7833.75,2025-04-15,0
41,89,37,2,47257.73,2025-06-28,0
42,23,45,4,11515.84,2025-07-25,0
43,24,78,1,14200.32,2025-02-07,0
44,13,73,2,10250.02,2025-11-14,0
45,80,29,2,22900.48,2025-10-26,0
46,86,22,2,41057.19,2025-03-28,0
47,132,68,4,17684.23,2025-08-01,0
48,184,20,3,45026.3,2025-07-23,0
49,139,20,4,40101.61,2025-10-01,0
50,21,2,1,32933.16,2025-12-04,1
51,31,47,4,46804.35,2025-07-14,0
52,102,20,4,1275.25,2025-02-04,0
53,80,61,1,27547.63,2025-06-15,0
54,158,98,1,9349.53,2025-07-02,0
55,195,86,1,41364.09,2025-10-17,0
56,156,56,1,15325.04,2025-12-10,0
57,121,59,3,24645,2025-02-10,0
58,87,48,1,30581.51,2025-09-11,0
59,179,92,3,16473.11,2025-06-23,0
60,16,53,3,41610.39,2025-11-20,0
61,9,14,2,44227.53,2025-05-08,0
62,196,60,2,9388.87,2025-07-22,0
63,155,16,4,38400.97,2025-07-24,0
64,84,82,1,24084.79,2025-01-27,0
65,166,74,4,32292.8,2025-05-12,0
66,83,18,1,25605.32,2025-03-19,0
67,95,94,4,8433.49,2025-08-14,0
68,78,64,1,4956.32,2025-04-09,0
69,196,35,3,17167.39,2025-08-02,0
70,69,82,3,1546.16,2025-07-07,0
71,4,52,4,21306.33,2025-08-22,0
72,125,10,1,26187.09,2025-05-29,0
73,156,90,1,46890.99,2025-10-27,0
74,137,56,1,19503.2,2025-08-30,0
75,86,84,1,49278.73,2025-01-05,0
76,153,17,2,4762.91,2025-04-12,0
77,194,77,2,6219.89,2025-04-28,0
78,59,56,3,33404.14,2025-03-17,0
79,153,92,2,49168.17,2025-01-07,0
80,69,12,4,2938.28,2025-12-17,0
81,184,78,4,6698.12,2025-10-12,0
82,49,51,3,35700.76,2025-03-25,0
83,98,66,2,33104.96,2025-04-05,0
84,180,13,1,12446.06,2025-05-04,0
85,99,87,2,40796.5,2025-12-04,0
86,102,24,4,7519.06,2025-11-26,0
